"wbic","county","waterbody.name","trtyco","trtystat","trtyprop","resstat","resprop","outarea","region","wtm91.x","wtm91.y","lat","long","lake.area","class.code","shore.length","max.depth","draintype.code","depth.below.20","depth.above.3","sand","gravel","rock","muck","drainage","drainage.ag","drainage.wild","watershed.desc","source","outlet","water.fluct","wet.adj","public.desc","wae.code","mus.code","lake.chain.code"
2089300,"barron","mud_lake",1,1,1,0,0,0,"nor",387239.67,536072.75,45.28,-91.69,22,6,1,19,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2089500,"barron","tenmile_lake",1,1,1,0,0,0,"nor",392530.57,536950.63,45.29,-91.62,376,3,11.5,12,"dg",0,30,80,10,0,10,5,60,40,62,0,105,1,227,0,"cst","o",NA
2089700,"barron","moose_ear_lake",1,1,1,0,0,0,"nor",396246.27,540412.87,45.32,-91.57,34,3,2.6,6,"dg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2090100,"barron","un_lake",1,1,1,0,0,0,"nor",397135.51,544434.77,45.36,-91.56,28,1,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2090300,"barron","couderay_lake",1,1,1,0,0,0,"nor",397535.26,546048.24,45.37,-91.56,11,5,0.7,3,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2090700,"rusk","big_bowker_lake",1,1,1,0,0,0,"nor",402444.27,551919.69,45.43,-91.5,39,5,1,8,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2090900,"rusk","bass_lake",1,1,1,0,0,0,"nor",402837.68,551509.38,45.42,-91.49,88,6,2.5,27,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ost",NA,NA
2091100,"rusk","pickerel_lake_#1",1,1,1,0,0,0,"nor",403638.02,552689.83,45.43,-91.48,12,6,0.5,33,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2091200,"rusk","pickerel_lake_#2",1,1,1,0,0,0,"nor",403630.87,552290.08,45.43,-91.48,19,6,0.7,22,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2091300,"rusk","pickerel_lake_#3",1,1,1,0,0,0,"nor",404013.9,551886.4,45.43,-91.48,18,5,0.9,16,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2091900,"chippewa","west_twin_lake",1,1,1,0,0,0,"wcr",400176.48,535643.75,45.28,-91.52,18,NA,1.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2092000,"chippewa","east_twin_lake",1,1,1,0,0,0,"wcr",401399.73,536359.31,45.29,-91.51,28,5,1.2,4,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2092200,"chippewa","un_lake",1,1,1,0,0,0,"wcr",403363.73,535577.43,45.28,-91.48,11,NA,0.6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2092400,"chippewa","little_pine_lake",1,1,1,0,0,0,"wcr",403759.73,535565.25,45.28,-91.48,10,6,0.6,50,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2092500,"chippewa","axhandle_lake",1,1,1,0,0,0,"wcr",403350.54,535173.99,45.28,-91.48,84,6,2.8,70,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ost",NA,NA
2092700,"chippewa","dark_lake",1,1,1,0,0,0,"wcr",404134.84,534750.5,45.27,-91.47,13,6,0.7,62,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2092800,"chippewa","silver_lake",1,1,1,0,0,0,"wcr",403773.26,535967.25,45.28,-91.48,26,6,0.9,50,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2092900,"chippewa","pine_lake",1,1,1,0,0,0,"wcr",404171.99,535956.41,45.28,-91.47,262,2,5.3,115,"se",75,4,50,30,15,5,1,5,95,1,0,200,2,0,0,NA,NA,NA
2093100,"rusk","un_lake",1,1,1,0,0,0,"nor",400269.5,539134.97,45.31,-91.52,15,NA,1.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2093300,"rusk","un_lake",1,1,1,0,0,0,"nor",399877.99,539954.68,45.32,-91.53,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2093500,"rusk","un_spring",1,1,1,0,0,0,"nor",399883.59,540354.65,45.32,-91.53,3,NA,0.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2093700,"rusk","un_spring",1,1,1,0,0,0,"nor",401078.05,544679.85,45.36,-91.51,1,NA,0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2093900,"barron","chetek_lake_chain",1,1,NA,NA,NA,NA,"nor",390957.5,538987.64,45.31,-91.64,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2094000,"barron","lake_chetek",1,1,1,0,0,0,"nor",390957.5,538987.64,45.31,-91.64,770,4,8.9,22,"dg",15,15,80,0,0,20,4,99,0,196,0,105,1,400,0.1,"cst","o",NA
2094100,"barron","prairie_lake",1,1,1,0,0,0,"nor",390585.96,540215.22,45.32,-91.65,1534,3,16,16,"dg",0,5,75,5,0,20,13,79,21,21,0,108,1,403,0.2,"cst","o",NA
2094300,"barron","pokegama_lake",1,1,1,0,0,0,"nor",392223.88,540538.8,45.32,-91.63,506,4,11.1,19,"dg",1,10,50,20,0,30,10,70,30,66,0,100,1,902,0,"cst","o",NA
